"entity_id,""attribute_set_id"",""type_id"",""awards"",""case_pack"",""cost"",""created_at"",""description"",""eco_collection"",""emybaby"",""estuche_caja_alto"",""estuche_caja_ancho"",""estuche_caja_largo"",""estuche_caja_volumen"",""featured"",""fecha_disponible"",""gift_message_available"",""grow_fun"",""habilidades_nucleo"",""has_options"",""image"",""image_label"",""inteligencias_multiples"",""inteligencias_multiples_principal"",""inteligencias_multiples_principal_value"",""juegos_play_miniland"",""links_exist"",""links_purchased_separately"",""links_title"",""mas_vendidos"",""mgs_brand"",""mgs_brand_value"",""mgs_image_dimention"",""mgs_image_dimention_more_view"",""mgs_j360"",""mpcp_enddate"",""mpcp_hideaction"",""mpcp_isactive"",""mpcp_specificurl"",""mpcp_startdate"",""msrp"",""msrp_display_actual_price_type"",""name"",""necesidades_especiales"",""new"",""news_from_date"",""news_to_date"",""play_miniland"",""price"",""price_type"",""price_view"",""product_ean"",""rango_edad"",""rango_edad_reduced"",""referencia"",""required_options"",""security_image_url"",""short_description"",""size"",""size_value"",""sku"",""sku_type"",""small_image"",""small_image_label"",""special_from_date"",""special_price"",""special_to_date"",""swatch_image"",""tax_class_id"",""tematicas"",""thumbnail"",""thumbnail_label"",""updated_at"",""url_key"",""url_path"",""visibility"",""weight"",""weight_type""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"911,4,simple,,""4.00"",,""2021-03-17 11:27:57"",,,0,,,,,1,,,,""11614,11615,11627,11633"",0,/5/0/5005531114_1.jpg,,""11664,11669"",11887,Social,""11801,11802"",,,,0,,,,,0,,0,0,,,,""0"",MUÑ BB CAUCAS C/IMPLAN 38 B-US,1,1,,,1,0.0000,,,""8413082311148"",""11842"",,,0,http://minilandgroup.com/pub/media/security/31114_S01.JPG,,,,""5005531114"",,/5/0/5005531114_1.jpg,,,,,,4,""11754,11752"",/5/0/5005531114_1.jpg,,""2025-10-28 11:13:20"",mun-bb-caucas-cimplan-38-bus.html,,4,0.0000,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"912,4,simple,,""4.00"",,""2021-03-17 11:27:57"",,,0,,,,,1,""2026-04-06 00:00:00"",,,""11633,11614,11615,11627"",0,/5/0/5005531116_1.jpg,,""11664,11669"",11887,Social,""11801,11802"",,,,0,,,,,0,,0,0,,,,""0"",MUÑ BB LATINO C/IMPLAN 38 B-US,1,1,,,1,0.0000,,,""8413082311162"",""11842"",,,0,http://minilandgroup.com/pub/media/security/31116_S01.JPG,,,,""5005531116"",,/5/0/5005531116_1.jpg,,,,,,4,""11754,11752"",/5/0/5005531116_1.jpg,,""2025-10-28 11:13:20"",mun-bb-latino-cimplan-38-bus.html,,4,0.0000,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"913,4,simple,,""4.00"",,""2021-03-18 07:30:33"",,,0,,,,,0,,0,,""11627,11633,11614,11615"",0,/5/0/5005531079_1.jpg,,""11669,11664"",11887,Social,""11802,11801"",,,,0,,,,,0,,1,1,,,,""0"",BABY MORENO NIÑO 38cm/USA,1,1,,,1,0.0000,,,""8413082310790"",""11905"",,,0,,,,,""5005531079"",,/5/0/5005531079_1.jpg,,,,,,4,""11754,11752"",/5/0/5005531079_1.jpg,,""2025-10-28 11:13:20"",baby-moreno-nino-38cmusa.html,,4,0.0000,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"914,4,simple,,""4.00"",,""2021-03-18 07:30:33"",,,0,,,,,0,,0,,""11627,11633,11614,11615"",0,/5/0/5005531080_1.jpg,,""11669,11664"",11887,Social,""11802,11801"",,,,0,,,,,0,,1,1,,,,""0"",BABY MORENO NIÑA 38cm/USA,1,1,,,1,0.0000,,,""8413082310806"",""11905"",,,0,,,,,""5005531080"",,/5/0/5005531080_1.jpg,,,,,,4,""11754,11752"",/5/0/5005531080_1.jpg,,""2025-10-28 11:13:20"",baby-moreno-nina-38cmusa.html,,4,0.0000,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"916,4,simple,,""12.00"",,""2021-03-31 07:32:27"",,,0,,,,,1,,0,,,0,/5/0/5005089410_1.jpg,,,,,,,,,0,,,,,0,,0,0,,,,""0"",PORTA-MASCARILLAS AZUL,0,1,,,0,2.4000,,,""8413082894108"",""11836"",,,0,http://minilandgroup.com/pub/media/security/89410_S01.jpg,,,,""5005089410"",,/5/0/5005089410_1.jpg,,,,,,4,,/5/0/5005089410_1.jpg,,""2025-10-28 11:12:26"",portamascarillas-azul.html,,4,0.0000,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"917,4,simple,,""2"",,""2021-03-31 13:31:46"",""<p><span >El  purificador de aire más avanzado para una limpieza profunda Cuenta con un primer filtro 3en 1 para eliminar la suciedad y malos olores del aire formado por un prefiltropara capturar las partículas de mayor tamaño, un filtro HEPA que elimina partículas diminutas de hasta 0.3µm (como alérgenos, polen, polvo o esporas) y un filtro de carbón activoque absorbe los olores indeseados  del hogar.Un segundo nivel de limpieza con rayos UV, que elimina el 99% de bacterias, virus y  gérmenes que pasan a través del sistema.Y un nivel más profundo con función ionizadora, para atrapar las partículas  contaminantes mediante la emisión de iones de carga negativa. Ideal para  habitaciones de hasta 15m 2Su diseño compacto con panel táctil y su función regulable en 4 velocidades(baja, media, alta o turbo) lo hace ideal tanto para la habitación del bebé, como para otras estancias de la casa</span><span style='font-size:19px";"'>. </span><span >Asimismo, gracias al giro especial de la rejilla de salida de aire se crea un efecto espiral que permite que el aire viaje a lo largo toda la  habitación con mayor facilidad. ProgramableCuenta con un temporizador que permite programar el apagado tras 2, 4 u 8 horas y con  aviso para cambiar el filtro cuando sea necesario. Luz indicadora de la calidad del aireCuenta con un indicador de la calidad del aire en 4 colores de calidad óptima a negativa: azul, amarillo, naranja y rojo. Esta luz sirve a su vez de luz de compañía,  aunque puede apagarse si activamos el modo nocturno.Modo nocturnoEn este modo la luz de compañía del aparato se apaga y baja su velocidad de funcionamiento  para trabajar en modo ultra silencioso para un descanso óptimo del bebé.</span></p>"",,0,""0.350000"",""0.250000"",""0.250000"",""0.021875"",1,,0,0,""11656"",0,/5/0/5005089391_1_4474.jpg,""5005089391"",,,,,,,,0,,,,,0,,1,1,,,,""0"",Purificador de Aire con filtro HEPA - Babypure 5,0,1,,,0,106.6116,,,""8413082893910"",""11836"",,BABYPURE 5,0,http://minilandgroup.com/pub/media/security/89391_S01.jpg,""<p><span>Cuenta con un genial modo nocturno ultra silencioso. Además, te avisarásiempre que sea necesario cambiar el filtro. ¡La mejor opción para purificar el aire!</span></p>"",,,""5005089391"",,/5/0/5005089391_1_4474.jpg,""5005089391"",,,,no_selection,4,""11912"",/5/0/5005089391_1_4474.jpg,""5005089391"",""2025-10-28 11:12:26"",babypure-5.html,,4,3.6000,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"918,4,simple,,""6"",,""2021-03-31 13:31:46"",""<p><span>Relaja de manera natural a tu bebéCon esta fajita térmica de semillas podrás relajar a tu bebégracias a la combinación del calor y el olor a lavanda.Algodón 100% orgánicoCon un diseño natural y divertido, esta fajita estáconfeccionada en algodón 100% orgánico, lo que le proporciona un tacto muy suave y confortable que la hace especialmente adecuada para la  delicada piel del bebé.Bolsita extraíble de semillas de origen  naturalEn su interior, encontrarás una bolsita extraíble rellena de semillas naturales de mijo y lavanda que producen un agradable y relajante olor aroma. Podrás extraerla para calentarla en el  microondas de forma independiente.Faja  ergonómicamente adaptada para el cuerpecito de tu bebéAdemás de su tamaño reducido, se adapta a las distintas etapas de crecimiento de tu bebégracias a  un cierre ajustable mediante cinta de cierre por contacto.Fácil de usar y limpiarPodrás lavarla a máquina máx. 30°C, gracias a su material y a la fácil extracción de la bolsita  de semillas de su interior.</span></p>"",,0,""0.125000"",""0.600000"",""0.180000"",""0.013500"",1,""2026-03-23 00:00:00"",0,0,""11653"",0,/5/0/5005089396_1.jpg,,,,,,,,,0,,,,,0,,0,0,,,,""0"",Cinturón térmico de semillas con aroma a lavanda,0,0,,,0,19.7521,,,""8413082893965"",""11836"",,NATURCALM,0,http://minilandgroup.com/pub/media/security/89396_S01.jpg,<p><span> Fajita  de semillas con funda de diseño natural confeccionada en algodón 100% orgánico  y olor a lavanda.</span></p>,,,""5005089396"",,/5/0/5005089396_1.jpg,,,,,,4,""11903"",/5/0/5005089396_1.jpg,,""2025-10-28 11:12:26"",naturcalm.html,,4,0.2500,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"920,4,simple,,""12.00"",,""2021-03-31 13:31:46"",,,0,,,,,,,0,,,0,/5/0/5005089409_1.jpg,,,,,,,,,0,,,,,0,,,,,,,""0"",PORTA-MASCARILLAS CORAL,0,1,,,0,2.4000,,,""8413082894092"",""11836"",,,0,http://minilandgroup.com/pub/media/security/89409_S01.jpg,,,,""5005089409"",,/5/0/5005089409_1.jpg,,,,,,4,,/5/0/5005089409_1.jpg,,""2025-10-28 11:12:26"",PORTAMASCARILLAS-CORAL.html,,4,0.0000,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"921,4,simple,,""15.00"",,""2021-05-05 06:27:24"",,,0,,,,,1,,,,,0,"""",,,,,,,,,0,,,,,0,,0,0,,,,""0"",BOQUILLA DIFUSORA HUMIDROP,0,0,,,0,0.0000,,,""8413082894139"",""11836"",,,0,,,,,""5005089413"",,"""",,,,,,4,,"""",,""2025-10-28 11:12:26"",boquilla-difusora-humidrop.html,,4,0.0000,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"923,4,simple,""11985,11986,11969,11982,12002"",""4"",,""2021-06-28 18:34:42"",<p><span> Este producto viene  en bolsa transparente</span></p>,,0,""0.110000"",""0.380000"",""0.170000"",""0.007106"",1,""2026-04-10 00:00:00"",0,0,""11614,11627,11615,11633"",0,/5/0/5005031110_1_6679.jpg,""5005031110"",""11669,11664"",11887,Social,""11801,11802"",,,,0,,,,,0,,1,1,,,,""0"",Muñeca caucásica Síndrome Down con gafas 38 cm,1,1,,,1,25.5370,,,""8413082311100"",""11842"",,MUÑ SD CAUCASICA C/GAFAS 38 B,0,,""<p><span>Desde Miniland buscamos representar a niños de todos los orígenes, condiciones y géneros. La muñeca de origen caucásico con Síndrome de Down mide 38 cm y tiene pelo castaño, ojos azules y gafas. Estáfabricada en España a base de un vinilo suave con aroma a vainilla, es segura y apta para niños con diversidad funcional, ya que su textura es suave y sus rasgos definidos. Es anatómicamente correcta y articulada, pudiendo sentarla o acostarla. Se presenta en una bolsa individual transparente, sin ropita.Y para maestros de infantil y primaria, nuestra plataforma miniland teach&play cuenta con recursos gratuitos y juegos educativos para utilizar en el aula. ¡Asílos más pequeños siguen aprendiendo mientras se divierten!</span></p>"",,,""5005031110"",,/5/0/5005031110_1_6679.jpg,""5005031110"",,,,no_selection,4,""11752,11754"",/5/0/5005031110_1_6679.jpg,""5005031110"",""2025-12-12 03:06:28"",mun-sd-caucasica-cgafas-38-b.html,,4,0.6400,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"926,4,simple,""11986,11969,11982,11992,12002"",""4"",,""2021-06-28 18:34:43"",""<p><span style=""""font-size:16px";">Este producto viene en bolsa transparente</span></p><p></p>"",,0,""0.110000"",""0.380000"",""0.170000"",""0.007106"",1,""2026-04-06 00:00:00"",0,0,""11614,11627,11615,11633"",0,/5/0/5005031116_1_4055.jpg,""5005031116"",""11669,11664"",11887,Social,""11801,11802"",,,,0,,,,,0,,1,1,,,,""0"",Muñeco latinoamericano implante coclear 38 cm,1,1,,,1,25.5370,,,""8413082311162"",""11842"",,MUÑ LATINO ÑO C/IMPLANTE 38 BO,0,,""<p><span style=""""font-size:16px";">El muñeco de origen latinoamericano con implante coclear mide 38 cm y forma parte de la colección Miniland Dolls, que transmite principios como la igualdad, diversidad, respeto y tolerancia a través del juego. Es fabricado artesanalmente en España y está hecho a base de un vinilo suave con aroma a vainilla que encanta a los más pequeños. Sus rasgos son definidos, su pelo es moreno y tiene ojos marrones. El muñeco se presenta en una bolsa transparente individual, sin ropita. Todos nuestros muñecos cuentan con ropita y complementos para su tamaño: los puedes encontrar en nuestra página. </span></p><br><p><span style=""""font-size:16px";">¿Conoces miniland teach&play? Es una plataforma para maestros de infantil y primaria a la que puedes acceder para utilizar recursos gratuitos y juegos educativos en clase. ¡A los niños les encanta!</span></p><p></p>"",,,""5005031116"",,/5/0/5005031116_1_4055.jpg,""5005031116"",,,,no_selection,4,""11752,11754"",/5/0/5005031116_1_4055.jpg,""5005031116"",""2025-12-12 03:08:51"",mun-latino-no-cimplante-38-bo.html,,4,0.6400,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"927,4,simple,,""1"",,""2021-07-08 06:58:35"",""<p><span>Repuestos para el robot de cocina chefy 6, 89424, de venta por separado.</span></p><br><p></p>"",,0,""0.070000"",""0.070000"",""0.010000"",""0.000049"",1,,,0,""11648"",0,/5/0/5005089430_1.jpg,,,,,,,,,0,,,,,0,,0,0,,,,""0"",Base de biberón para robot de cocina chefy 6 89424,0,1,,,0,1.6529,,,""8413082894306"",""11836"",,BASE BIBERÓN CHEFY 6,0,http://minilandgroup.com/pub/media/security/89430_S01.jpg,""<p><span>Base biberón compatible con el robot de cocina chefy 6, 89424.</span></p><br><p></p>"",,,""5005089430"",,/5/0/5005089430_1.jpg,,,,,,4,""11768"",/5/0/5005089430_1.jpg,,""2025-11-15 02:23:44"",base-biberon-nueva-chefy-6.html,,4,0.0500,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"928,4,simple,,""6"",,""2021-07-13 13:04:09"",""<p><span>Transporta a tus muñecos Miniland Dolls con estilo y comodidad gracias a nuestro capazo de algodón con asas, un accesorio imprescindible para ampliar las posibilidades del juego simbólico. Diseñado para muñecos y muñecas de hasta 40 cm, este cesto portabebés permite a los más pequeños llevar a sus compañeros de juego a cualquier parte con facilidad.</span></p><br><p><span>Su diseño ligero, suave y resistente lo convierte también en un moisés o cunita portátil, ideal para representar momentos de cuidado, descanso o paseo. Fabricado en algodón de alta calidad, aporta una experiencia de juego realista, segura y acogedora.</span></p><br><p><span>Perfecto tanto para casa como para el aula, este capazo favorece la autonomía, la empatía y el juego de rol afectivo, al mismo tiempo que estimula la imaginación y el desarrollo emocional. Compatible con todos los modelos de la colección Miniland Dolls de hasta 40 cm, es un complemento versátil que acompaña el crecimiento y el aprendizaje desde la primera infancia.</span></p><p></p>"",,0,""0.115000"",""0.245000"",""0.395000"",""0.011129"",1,""2026-04-02 00:00:00"",0,0,""11613,11614,11627,11615"",0,/5/0/5005031195_1_7652.jpg,""5005031195"",""11669,11666,11664"",11881,Activa y Corporal,,,,,0,,,,,0,,0,0,,,,""0"",Cesto portabebés de algodón accesorio para muñeco,0,1,,,0,28.0170,,,""8413082311957"",""11905"",,CESTO PORTABEBES  ALGODON,0,http://minilandgroup.com/pub/media/security/31195_S01.JPG,""<p><span>Transporta a tus muñecos Miniland Dolls con comodidad en nuestro capazo de algodón con asas. Este versátil accesorio está diseñado para llevar fácilmente muñecos y muñecas de hasta 40 cm de altura. Además, también puede utilizarse como moisés o cunita para que tus pequeños disfruten de más opciones de juego imaginativo.¡Haz que el transporte y la diversión sean más fáciles con nuestro capazo de algodón para muñecos Miniland Dolls!</span></p><p></p>"",,,""5005031195"",,/5/0/5005031195_1_7652.jpg,""5005031195"",,,,no_selection,4,""11758,11773"",/5/0/5005031195_1_7652.jpg,""5005031195"",""2025-10-28 11:13:20"",cesto-portabebes--algodon.html,,4,0.4280,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"929,4,simple,,""6"",,""2021-07-29 09:11:58"",""<p><span> Completa los looks más tiernos con los zapatos para muñeco de 21 cm Miniland Dolls, un accesorio imprescindible para enriquecer el juego simbólico y fomentar el desarrollo infantil a través de la representación de rutinas cotidianas.Diseñados a medida para los muñecos recién nacidos de Miniland, estos zapatos combinan funcionalidad y estilo, permitiendo a los más pequeños vestir y desvestir a sus muñecos con facilidad. Están confeccionados con materiales seguros y resistentes, y presentan un diseño cómodo que facilita la manipulación por manos pequeñas, ayudando a fortalecer la psicomotricidad fina y la coordinación.Perfectos para acompañar momentos como el paseo, la siesta o el juego libre, estos zapatos son el complemento ideal para completar cualquier conjunto de la colección de ropa Miniland Dolls de 21 cm.Además, con nuestra plataforma educativa Miniland Teach&Play, puedes acceder a recursos y juegos gratuitos relacionados con este producto, ampliando la experiencia educativa y emocional desde casa o en el aula.Un accesorio pequeño, pero lleno de valor para crecer jugando.</span></p>"",,0,""0.180000"",""0.050000"",""0.208000"",""0.001872"",1,,,0,""11613,11614,11627,11615"",0,/5/0/5005031190_1.jpg,,""11669,11666,11664"",11881,Activa y Corporal,""11803"",,,,0,,,,,0,,0,0,,,,""0"",Zapatos para muñeco 21 cm,0,1,,,1,8.1820,,,""8413082311902"",""11842"",,ZAPATOS 21 CM ,0,http://minilandgroup.com/pub/media/security/31190_S01.JPG,""<p><span>Nueva colección de ropita y accesorios para muñeco recién nacido. Incluye las prendas y complementos más habituales en situaciones cotidianas del bebécomo la hora del baño, la siesta o el paseo. Con diferentes tipos de abroches para ayudar al desarrollo de la psicomotricidad fina.Además con nuestra plataforma educativa miniland teach&play podrás acceder a recursos y juegos gratuitos relacionados con este producto y que amplían la experiencia educativa</span></p>"",,,""5005031190"",,/5/0/5005031190_1.jpg,,,,,,4,""11759,11758"",/5/0/5005031190_1.jpg,,""2025-10-28 11:13:20"",zapatos-21-cm-.html,,4,0.0291,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"930,4,simple,,""6"",,""2021-07-29 09:11:59"",""<p><span> Añade el toque final perfecto a cualquier conjunto con los zapatos para muñeco de 38 cm Miniland Dolls, un complemento esencial para fomentar el juego simbólico, la autonomía y la expresión emocional desde la primera infancia.Estos zapatos han sido diseñados especialmente para ajustarse con comodidad a los muñecos y muñecas Miniland de 38 cm. Fabricados con materiales resistentes y seguros, permiten a los niños y niñas vestir y desvestir fácilmente a sus muñecos, reforzando la coordinación mano-ojo y desarrollando la psicomotricidad fina mientras se divierten.Ideales para recrear escenas cotidianas como la preparación para salir, el paseo o la siesta, estos zapatos completan los conjuntos de ropa de la colección Miniland Dolls 38 cm, enriqueciendo la experiencia del juego con un enfoque realista y afectivo.Además, a través de nuestra plataforma educativa Miniland Teach&Play, podrás acceder a recursos y actividades gratuitas relacionadas con este producto, ampliando el aprendizaje desde casa o en el aula.Un pequeño gran detalle que convierte cada momento de juego en una oportunidad para aprender con empatía y creatividad.</span></p>"",,0,""0.190000"",""0.070000"",""0.208000"",""0.002766"",1,,,0,""11613,11614,11627,11615"",0,/5/0/5005031192_1_7526.jpg,""5005031192"",""11669,11666,11664"",11881,Activa y Corporal,""11803"",,,,0,,,,,0,,0,0,,,,""0"",Zapatos para muñeco 38 cm,0,1,,,1,8.1820,,,""8413082311926"",""11842"",,ZAPATOS 38 CM,0,http://minilandgroup.com/pub/media/security/31192_S01.JPG,""<p><span>Nueva colección de ropita y accesorios para muñeco recién nacido. Incluye las prendas y complementos más habituales en situaciones cotidianas del bebécomo la hora del baño, la siesta o el paseo. Con diferentes tipos de abroches para ayudar al desarrollo de la psicomotricidad fina.Además con nuestra plataforma educativa miniland teach&play podrás acceder a recursos y juegos gratuitos relacionados con este producto y que amplían la experiencia educativa</span></p>"",,,""5005031192"",,/5/0/5005031192_1_7526.jpg,""5005031192"",,,,no_selection,4,""11759,11758"",/5/0/5005031192_1_7526.jpg,""5005031192"",""2025-10-28 11:13:20"",zapatos-38-cm.html,,4,0.0305,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"931,4,simple,,""3"",,""2021-07-29 09:11:59"",""<p><span> Haz que tus muñecos Miniland Dolls viajen con estilo y conciencia ecológica gracias a nuestro capazo portabebés fabricado con fibras de algas. Este accesorio natural y sostenible estádiseñado para transportar cómodamente muñecos y muñecas de hasta 40 cm de altura, gracias a sus asas resistentes y su estructura ligera.Además de facilitar el transporte, este capazo también puede convertirse en un moisés o cunita improvisada, ampliando las posibilidades del juego simbólico y afectivo. Su diseño rústico y funcional combina perfectamente con una estética natural y fomenta el contacto con materiales sostenibles, ayudando a inculcar desde pequeños valores como el respeto por el medioambiente.Ideal tanto para el hogar como para espacios educativos, este capazo de algas estimula la imaginación, la empatía y la autonomía, permitiendo que niños y niñas cuiden de sus muñecos mientras aprenden jugando. Un accesorio único que une versatilidad, sostenibilidad y juego educativo en una sola pieza.</span></p>"",,0,""0.180000"",""0.245000"",""0.450000"",""0.019845"",1,,,0,""11613,11614,11627,11615"",0,/5/0/5005031196_1_5689.jpg,""5005031196"",""11669,11666,11664"",11881,Activa y Corporal,,,,,0,,,,,0,,0,0,,,,""0"",Cesto portabebés de algas accesorio para muñeco,0,1,,,0,49.5040,,,""8413082311964"",""11842"",,CESTO PORTABEBES ALGAS,0,http://minilandgroup.com/pub/media/security/31196_S01.JPG,""<p><span>Haz que tus muñecos Miniland Dolls viajen con estilo en nuestro capazo ecológico fabricado con algas. Con asas resistentes, este capazo permite transportar fácilmente muñecos y muñecas de hasta 40 cm de altura. Además de su función como transporte, también puede convertirse en un práctico moisés o cunita para ofrecer más opciones de juego imaginativo.¡Opta por la sostenibilidad y la versatilidad con nuestro capazo de algas para muñecos Miniland Dolls!</span></p>"",,,""5005031196"",,/5/0/5005031196_1_5689.jpg,""5005031196"",,,,no_selection,4,""11758,11773"",/5/0/5005031196_1_5689.jpg,""5005031196"",""2025-10-28 11:13:20"",cesto-portabebes-algas.html,,4,0.5500,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"932,4,simple,,""10"",,""2021-07-29 09:11:59"",""<p><span>Envuelve a tus muñecos Miniland Dolls en calidez y ternura con nuestra manta arrullo Terra, confeccionada en algodón suave de alta calidad. Diseñada para aportar comodidad y estilo, esta manta es perfecta tanto para el uso independiente como para acompañar al capazo Miniland Dolls, creando una experiencia de juego aún más realista y acogedora.Su diseño en tonos unisex y naturales, como el color tierra, la convierte en un complemento ideal para muñecos y muñecas de cualquier estilo o personalidad. Es ligera, fácil de manipular por manos pequeñas y lo suficientemente amplia para envolver cómodamente muñecos de hasta 40 cm.Perfecta para representar momentos de descanso, cuidado o paseo, esta manta estimula el juego simbólico, promueve la empatía y el desarrollo emocional y añade un toque cálido y elegante a cualquier sesión de juego.Manta Arrullo Terra: un accesorio versátil y lleno de encanto para dar aún más vida a la colección Miniland Dolls.</span></p>"",,0,""0.040000"",""0.280000"",""0.180000"",""0.002016"",1,,,0,""11613,11614,11627,11615"",0,/5/0/5005031197_1_8857.jpg,""5005031197"",""11669,11666,11664"",11881,Activa y Corporal,,,,,0,,,,,0,,0,0,,,,""0"",Manta arrullo terra accesorio para muñeco,0,1,,,0,13.1400,,,""8413082311971"",""11905"",,MANTA ARRULLO TERRA,0,http://minilandgroup.com/pub/media/security/31197_S01.JPG,""<p><span>Envuelve a tus muñecos Miniland Dolls con nuestra manta de algodón original, disponible en una variedad de colores unisex. Esta suave y acogedora manta es perfecta para usar con el capazo Miniland Dolls o de forma independiente, proporcionando comodidad y estilo a tus muñecos.¡Añade un toque de confort y color a tus momentos de juego con nuestra manta de algodón Miniland Dolls!</span></p>"",,,""5005031197"",,/5/0/5005031197_1_8857.jpg,""5005031197"",,,,no_selection,4,""11759,11758"",/5/0/5005031197_1_8857.jpg,""5005031197"",""2025-10-28 11:13:20"",manta-arrullo-terra.html,,4,0.1600,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"933,4,simple,,""10"",,""2021-07-29 09:11:59"",""<p><span>Aporta un toque de suavidad y frescura al juego simbólico con la manta arrullo Aqua de Miniland Dolls, confeccionada en algodón de alta calidad. Su delicado tono aqua y su textura acogedora hacen de esta manta un accesorio ideal para envolver a tus muñecos con comodidad y elegancia, ya sea como complemento del capazo Miniland Dolls o de forma independiente.</span></p><br><p><span>Ligera, práctica y fácil de manipular, esta manta permite cubrir muñecos y muñecas de hasta 40 cm, brindando una experiencia de juego realista y afectiva. Su diseño en tono fresco y moderno la convierte en una opción perfecta para complementar cualquier estilo de muñeco y estimular la creatividad, la empatía y el cuidado emocional.</span></p><br><p><span>Ya sea para simular momentos de descanso, paseo o abrigo, la manta arrullo Aqua fomenta el juego simbólico desde la primera infancia y aporta un toque de estilo y ternura a cada aventura.</span></p><br><p><span>Manta de algodón Aqua Miniland Dolls: un complemento que combina funcionalidad, frescura y juego educativo.</span></p><p></p>"",,0,""0.040000"",""0.280000"",""0.180000"",""0.002016"",1,,,0,""11613,11614,11627,11615"",0,/5/0/5005031198_1_8163.jpg,""5005031198"",""11669,11666,11664"",11881,Activa y Corporal,,,,,0,,,,,0,,0,0,,,,""0"",Manta arrullo aqua accesorio para muñeco,0,1,,,0,13.1400,,,""8413082311988"",""11905"",,MANTA ARRULLO AQUA,0,http://minilandgroup.com/pub/media/security/31198_S01.JPG,""<p><span>Envuelve a tus muñecos Miniland Dolls con estilo con nuestra manta de algodón arullo en el encantador color aqua. Esta manta original de Miniland Dolls es perfecta para usar con el capazo Miniland Dolls o de forma independiente, ofreciendo comodidad y elegancia a tus muñecos.¡Añade un toque de suavidad y frescura a tus momentos de juego con nuestra manta de algodón arullo Aqua de Miniland Dolls!</span></p><p></p>"",,,""5005031198"",,/5/0/5005031198_1_8163.jpg,""5005031198"",,,,no_selection,4,""11759,11758"",/5/0/5005031198_1_8163.jpg,""5005031198"",""2025-10-28 11:13:20"",manta-arrullo-aqua.html,,4,0.1600,";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
