REF;PRECIO;PVPR;DESCRIPCION
31220;6.95;13.9;PIJAMA BEIGE
31221;6.95;13.9;ACCESORIO BEBE  SAQUITO
31222;6.95;13.9;PIJAMA 2 PCS GRIS
31223;6.95;13.9;ACCESORIO BEBE MOCHILA
31224;6.95;13.9;BODY ACCESORIOS CANASTILLA
31225;6.95;13.9;ACCESORIO BEBE TOALLA
31228;15.45;30.9;MUÑECA CAUCÁSICA RUBIA OSCURO CON VITÍLIGO 38CM
31236;14.45;28.9;MUÑECA ASIATICA SIND DOWN38/BO
31362;14.45;28.9;MUÑECO CAUCASIC BLAND 32CM/EST
31364;14.45;28.9;MUÑECO AFRICAN BLANDO 32CM/EST
31366;14.45;28.9;MUÑECO ASIATIC BLAND 32 CM/EST
31368;14.45;28.9;MUÑECO LATINO BLAND 32 CM/EST
31520;4.45;8.9;CAMISETA Y BRAGUITA 38 CM
31533;7.95;15.9;Traje Cientifico 38 cm
31534;7.95;15.9;Traje Cocinero 38 cm
31535;7.95;15.9;Traje Astronauta 38 cm
31536;7.95;15.9;Traje Artista 38 cm
31537;7.95;15.9;Traje Granjero 38 cm
31538;7.95;15.9;Traje Bombero 38 cm
31539;39.95;79.9;Set 6 conjuntos oficios 38 cm
31563;7.95;15.9;CONJUNTO CHICO DUNE 38CM
31564;7.95;15.9;CONJUNTO CHICA DUNE  38CM
31565;7.95;15.9;CONJUNTO CHICO FOREST 38CM
31566;7.95;15.9;CONJUNTO CHICA FOREST 38CM
31567;7.95;15.9;CONJUNTO CHICO SEA 38CM
31568;7.95;15.9;CONJUNTO CHICA SEA 38CM
31571;4.45;8.9;PIJAMA MARRÓN CON GORRO PARA MUÑECO DE 21 CM
31572;4.45;8.9;PIJAMA BLANCO CON GORRO PARA MUÑECO DE 21 CM
31573;4.45;8.9;PETO Y CAMISETA DE VERANO PARA MUÑECO DE 21 CM
31574;4.45;8.9;VESTIDO DE VERANO PARA MUÑECO DE 21 CM
31575;4.45;8.9;CAMISETA Y PANTALÓN INVIERNO PARA MUÑECO DE 21 CM
31576;4.45;8.9;PETO Y CAMISETA DE INVIERNO PARA MUÑECO DE 21 CM
31577;5.95;11.9;PIJAMA VERDE CON GORRO PARA MUÑECO DE 32 CM
31578;5.95;11.9;PIJAMA ROSA CON GORRO PARA MUÑECO DE 32 CM
31579;5.95;11.9;CAMISETA Y PANTALÓN DE VERANO PARA MUÑECO DE 32CM
31580;5.95;11.9;PETO Y BLUSA DE VERANO PARA MUÑECO DE 32 CM
31581;5.95;11.9;CHAQUETA Y PANTALÓN INVIERNO PARA MUÑECO DE 32 CM
31582;5.95;11.9;VESTIDO DE INVIERNO PARA MUÑECO DE 32 CM
31583;7.95;15.9;PIJAMA BEIGE CON GORRO PARA MUÑECO DE 38 CM
31584;7.95;15.9;PIJAMA ROSA CON GORRO PARA MUÑECO DE 38 CM
31585;7.95;15.9;CAMISETA Y PANTALÓN DE VERANO PARA MUÑECO DE 38CM
31586;7.95;15.9;BLUSA Y PANTALÓN DE VERANO PARA MUÑECO DE 38 CM
31587;7.95;15.9;JERSEY Y PANTALÓN DE INVIERNO PARA MUÑECO DE 38CM
31588;7.95;15.9;VESTIDO Y CAMISETA DE INVIERNO PARA MUÑECO DE 38CM
31600;9.45;18.9;PIJAMA PUNTO 21cm - MOD1
31601;9.45;18.9;PIJAMA PUNTO 21cm - MOD2
31602;10.95;21.9;PIJAMA PUNTO 32cm - MOD1
31603;10.95;21.9;PIJAMA PUNTO 32cm - MOD2
31604;11.95;23.9;PIJAMA PUNTO 38cm - MOD1
31605;11.95;23.9;PIJAMA PUNTO 38cm - MOD2
31606;12.45;24.9;PIJAMA PUNTO 40cm - MOD1
31607;12.45;24.9;PIJAMA PUNTO 40cm - MOD2
31627;4.75;9.5;CAMISETA Y BRAGUITA 32 CM
31647;7.45;14.9;CONJUNTO CHICO DUNE 32 CM
31648;7.45;14.9;CONJUNTO CHICA DUNE 32 CM
31649;7.45;14.9;CONJUNTO CHICO FOREST 32CM
31650;7.45;14.9;CONJUNTO CHICA FOREST 32CM
31651;7.45;14.9;CONJUNTO CHICO SEA 32 CM
31652;7.45;14.9;CONJUNTO CHICA SEA 32 CM
31653;10.45;20.9;CONJ PUNTO 32CM VESTIDO&DIADEM
31654;10.45;20.9;CONJ PUNTO 32CM PICHI &CAPOTA
31655;10.45;20.9;CONJ PUNTO 32CM PELELE & GORRO
31656;10.45;20.9;CONJ PUNTO 32CM JERSEY&PANTALO
31657;12.95;25.9;CONJ PUNTO 40CM VESTIDO&GORRO
31658;12.95;25.9;COMJ PUNTO 40CM PELELE &CAPOTA
31659;12.95;25.9;CONJ PUNTO 40CM JERSEY&PANTALO
31660;12.95;25.9;CONJ PUNTO 40CM PETO & GORRO
31665;6.45;12.9;CONJUNTO CHICO DUNE 21 CM
31666;6.45;12.9;CONJUNTO CHICA DUNE 21 CM
31667;6.45;12.9;CONJUNTO CHICO FOREST 21 CM
31668;6.45;12.9;CONJUNTO CHICA FOREST 21 CM
31669;6.45;12.9;CONJUNTO CHICO SEA 21 CM
31670;6.45;12.9;CONJUNTO CHICA SEA 21 CM
31683;9.45;18.9;CONJ PUNTO 21CM VESTID&DIADEMA
31684;9.45;18.9;CONJ PUNTO 21CM PELELE & GORRO
31685;9.45;18.9;CONJ PUNTO 21CM PELELE&DIADEMA
31686;9.45;18.9;CONJ PUNTO 21CM JERSEY&PANTALO
31687;11.95;23.9;CONJ PUNTO 38CM VESTIDO&DIADEM
31688;11.95;23.9;CONJ PUNTO 38CM PELELE & GORRO
31689;11.95;23.9;CONJ PUNTO 38CM PETO & GORRO
31690;11.95;23.9;CONJ PUNTO 38CM JERSEY&PANTALO
31696;4.45;8.9;CAMISETA Y BRAGUITAS 21 CM
